graph_name,vertices,edges,edge_density,degree_variance,clustering_coefficient,k,bronKerbosch_time,bronKerbosch_max_found,bronKerbosch_success,branch_and_bound_time,branch_and_bound_max_found,branch_and_bound_success,genetic_alg_time,genetic_alg_max_found,genetic_alg_success,simulated_annealing_time,simulated_annealing_max_found,simulated_annealing_success
v25/0,25,259,0.863,4.242,0.645,13,0.00147,13,1,0.00578928,13,1,0.239169431,13,1,0.16004231,13,1
v25/1,25,33,0.110,3.310,0.001,3,0.00010,3,1,0.000200987,3,1,0.338598514,3,1,0.004286909,3,1
v25/2,25,134,0.447,5.682,0.086,5,0.00145,5,1,0.000733137,5,1,0.214268494,5,1,0.032988572,5,1
v25/3,25,30,0.100,2.920,0.000,3,0.00010,3,1,0.000396013,3,1,0.302455401,3,1,0.011264014,3,1
v25/4,25,74,0.247,4.594,0.015,4,0.00020,4,1,0.000325203,4,1,0.250427508,4,1,0.029907227,4,1
v25/5,25,194,0.647,6.210,0.269,8,0.00094,7,0,0.001228094,8,1,0.385939455,8,1,0.14838655,8,1
v25/6,25,182,0.607,7.486,0.225,6,0.00086,6,1,0.002043009,6,1,0.14123559,6,1,0.010966754,6,1
v25/7,25,160,0.533,6.200,0.149,6,0.00067,6,1,0.001052141,6,1,0.258357263,6,1,0.098552465,6,1
v25/8,25,5,0.017,1.320,0.000,2,0.00008,2,1,0.000158072,2,1,0.157047892,2,1,0.000171781,2,1
v25/9,25,132,0.440,5.326,0.080,5,0.00064,5,1,0.000981092,5,1,0.204068184,5,1,0.026406765,5,1
v25/10,25,251,0.837,4.834,0.589,12,0.00124,12,1,0.003480196,12,1,0.174683046,12,1,0.133432245,12,1
v25/11,25,186,0.620,6.306,0.236,7,0.00086,7,1,0.002867937,7,1,0.369972706,7,1,0.173723745,7,0.8
v25/12,25,124,0.413,5.554,0.070,5,0.00070,5,1,0.000718117,5,1,0.235015392,5,1,0.015705752,5,1
v25/13,25,174,0.580,7.874,0.202,8,0.00070,8,1,0.002325058,8,1,0.246684885,8,1,0.113107133,8,1
v25/14,25,238,0.793,3.998,0.494,10,0.00178,10,1,0.001650095,10,1,0.271981525,10,1,0.146156669,10,1
v25/15,25,55,0.183,3.800,0.004,3,0.00024,3,1,0.000365734,3,1,0.135916996,3,1,0.00126009,3,1
v25/16,25,20,0.067,2.440,0.000,2,0.00011,2,1,0.000190973,2,1,0.061927485,2,1,2.29E-05,2,1
v25/17,25,83,0.277,6.110,0.024,5,0.00025,5,1,0.000468016,5,1,0.245102119,5,1,0.090700626,5,1
v25/18,25,279,0.930,2.498,0.803,15,0.00120,15,1,0.002686977,15,1,0.164947915,15,1,0.122844958,15,1
v25/19,25,266,0.887,3.682,0.698,14,0.00177,14,1,0.001656055,14,1,0.285803843,14,1,0.194923782,14,1
v25/20,25,20,0.067,3.080,0.000,3,0.00016,3,1,0.000193119,3,1,0.278262639,3,1,0.005473399,3,1
v25/21,25,39,0.130,3.746,0.001,3,0.00011,3,1,0.000283003,3,1,0.208576345,3,1,0.002232718,3,1
v25/22,25,130,0.433,5.720,0.082,5,0.00056,5,1,0.000847101,5,1,0.251759911,5,1,0.034786296,5,1
v25/23,25,221,0.737,6.418,0.403,10,0.00125,10,1,0.002499104,10,1,0.297778797,10,1,0.146991181,10,1
v25/24,25,298,0.993,1.214,0.980,24,0.00032,24,1,0.005712986,24,1,0.093547368,24,1,9.30E-07,24,1
v50/0,50,196,0.160,10.414,0.005,4,0.00081,4,1,0.001262188,4,1,0.291943097,4,1,0.071692991,4,1
v50/1,50,1175,0.959,2.920,0.883,30,0.30467,30,1,0.027065992,30,1,0.398870015,30,1,0.410495114,30,1
v50/2,50,795,0.649,11.160,0.273,11,0.01907,11,1,0.021445036,11,1,0.42553277,11,1,0.276061988,11,0.5
v50/3,50,110,0.090,5.200,0.001,3,0.00046,3,1,0.001015663,3,1,0.163532996,3,1,0.003128266,3,1
v50/4,50,1099,0.897,5.918,0.722,21,0.28795,21,1,0.054311037,21,1,0.393286586,21,1,0.278233194,21,1
v50/5,50,1195,0.976,2.320,0.929,34,0.04157,34,1,0.074558258,34,1,0.22432096,34,1,0.390659857,34,1
v50/6,50,514,0.420,9.966,0.070,6,0.00305,6,1,0.007035255,6,1,0.45446105,6,1,0.131636381,6,1
v50/7,50,419,0.342,10.942,0.039,5,0.00216,5,1,0.00436902,5,1,0.24627924,5,1,0.106087184,5,1
v50/8,50,849,0.693,9.398,0.331,12,0.03032,12,1,0.0205791,12,1,0.46626904,12,1,0.195835352,12,1
v50/9,50,635,0.518,11.760,0.137,7,0.00622,7,1,0.012705803,7,1,0.302780271,7,1,0.135115361,7,1
v50/10,50,1135,0.927,4.560,0.796,24,0.76729,24,1,0.04924798,24,1,0.399301887,24,1,0.30382781,24,1
v50/11,50,178,0.145,5.586,0.003,4,0.00043,4,1,0.001194954,4,1,0.376117921,4,1,0.106973886,4,1
v50/12,50,424,0.346,15.318,0.044,6,0.00214,6,1,0.00309515,6,1,0.363347554,6,1,0.19410851,6,0.7
v50/13,50,1007,0.822,9.362,0.557,16,0.14800,16,1,0.054703951,16,1,0.593523288,16,1,0.259205556,16,1
v50/14,50,1055,0.861,7.320,0.639,18,0.20306,18,1,0.168318987,18,1,0.519043899,18,1,0.267238593,18,1
v50/15,50,268,0.219,8.682,0.010,4,0.00078,4,1,0.002415895,4,1,0.227332926,4,1,0.042260027,4,1
v50/16,50,244,0.199,5.822,0.007,4,0.00063,4,1,0.00149703,4,1,0.30011816,4,1,0.067999744,4,1
v50/17,50,77,0.063,4.234,0.000,3,0.00027,3,1,0.000653982,3,1,0.241320658,3,1,0.018763304,3,1
v50/18,50,208,0.170,7.898,0.005,4,0.00053,4,1,0.001331091,4,1,0.279678822,4,1,0.087742186,4,1
v50/19,50,462,0.377,10.490,0.051,5,0.00248,5,1,0.00588274,5,1,0.205558515,5,1,0.075208187,5,1
v50/20,50,387,0.316,10.370,0.031,6,0.00174,6,1,0.002830982,6,1,0.400762272,6,1,0.162502766,6,0.8
v50/21,50,577,0.471,12.914,0.103,6,0.00462,6,1,0.011659861,6,1,0.242290974,6,1,0.112556911,6,1
v50/22,50,640,0.522,10.680,0.140,8,0.00637,8,1,0.010532141,8,1,0.542598248,8,1,0.226412177,8,0.7
v50/23,50,250,0.204,7.680,0.009,4,0.00081,4,1,0.002290964,4,1,0.284311819,4,1,0.087465405,4,1
v50/24,50,294,0.240,7.462,0.013,5,0.00179,5,1,0.001667023,5,1,0.327865148,5,1,0.154134464,5,0.9
v100/0,100,2220,0.448,25.200,0.090,8,0.0577,8,1,0.12717104,8,1,0.669818425,8,1,0.172902417,8,1
v100/1,100,3094,0.625,21.846,0.244,12,0.6923,12,1,0.781949043,12,1,0.946485996,12,1,0.353146029,12,0.5
v100/2,100,3481,0.703,20.216,0.347,15,3.3166,15,1,2.475836992,15,1,1.053047371,15,0.8,0.474759388,15,0.2
v100/3,100,1751,0.354,23.240,0.044,6,0.0232,6,1,0.071193695,6,1,0.426879525,6,1,0.147716117,6,1
v100/4,100,2516,0.508,23.598,0.131,10,0.1268,10,1,0.217790842,10,1,0.919924164,10,1,0.318467331,10,0.6
v100/5,100,3378,0.682,21.506,0.318,13,1.9028,13,1,2.480925798,13,1,0.969771314,13,1,0.325910854,13,0.6
v100/6,100,631,0.127,13.376,0.002,4,0.0018,4,1,0.010525227,4,1,0.360703778,4,1,0.096313214,4,1
v100/7,100,1374,0.278,19.450,0.021,6,0.0082,6,1,0.036849022,6,1,0.635932803,6,1,0.188289666,6,0.8
v100/8,100,391,0.079,7.168,0.000,3,0.0009,3,1,0.006959677,3,1,0.242963171,3,1,0.009213257,3,1
v100/9,100,550,0.111,8.680,0.001,4,0.0015,4,1,0.010983944,4,1,0.468220377,4,1,0.170767832,4,0.9
v100/10,100,3812,0.770,19.222,0.457,18,16.5439,18,1,5.632915974,18,1,1.207603645,18,0.9,0.571899748,0,0
v100/11,100,896,0.181,13.894,0.006,5,0.0031,5,1,0.015026093,5,1,0.577023101,5,1,0.189875221,5,0.7
v100/12,100,4869,0.984,2.796,0.952,68,380.9556,68,1,0.830116034,68,1,0.620637679,68,1,0.888916397,68,1
v100/13,100,4542,0.918,7.294,0.772,34,600.0000,0,0,98.21139908,34,1,1.195775867,34,0.9,0.730093551,34,0.4
v100/14,100,29,0.006,1.584,0.000,2,0.0002,2,1,0.000516891,2,1,0.1805902,2,1,0.000543952,2,1
v100/15,100,4271,0.863,14.964,0.643,26,314.5734,26,1,54.91248417,26,1,1.02053709,26,1,0.621833229,26,0.1
v100/16,100,2012,0.406,20.842,0.067,7,0.0329,7,1,0.097244263,7,1,0.421748877,7,1,0.143051696,7,1
v100/17,100,4715,0.953,5.750,0.864,46,600.0000,0,0,43.15475583,46,1,0.952211404,46,1,0.747884464,46,0.9
v100/18,100,4916,0.993,1.718,0.980,81,1.7892,81,1,0.322396994,81,1,0.461266756,81,1,0.922329712,81,1
v100/19,100,2563,0.518,24.132,0.139,10,0.1242,10,1,0.202480078,10,1,0.795232725,10,1,0.244165111,10,0.9
v100/20,100,3180,0.642,18.160,0.264,12,0.9159,12,1,1.054453135,12,1,0.909308243,12,1,0.288933659,12,0.8
v100/21,100,2156,0.436,25.826,0.083,9,0.0468,8,0,0.10532999,9,1,0.732781506,9,1,0.265417457,9,0.7
v100/22,100,544,0.110,9.026,0.001,4,0.0014,4,1,0.008210897,4,1,0.414778519,4,1,0.115941525,4,1
v100/23,100,139,0.028,3.632,0.000,3,0.0004,3,1,0.000922203,3,1,0.414301515,3,1,0.07156353,3,1
v100/24,100,1637,0.331,26.832,0.037,7,0.0132,7,1,0.04655385,7,1,0.762852645,7,1,0.289130354,7,0.5
v200/0,200,4901,0.246,37.240,0.015,6,0.0918,6,1,0.402629852,6,1,0.812244415,6,1,0.215122247,6,0.7
v200/1,200,12492,0.628,49.114,0.247,14,69.8475,14,1,70.30001903,14,1,1.011951947,14,0.9,0.320221496,14,0.6
v200/2,200,7673,0.386,46.117,0.057,8,0.5030,8,1,1.487545013,8,1,0.873634911,8,1,0.256667471,8,0.5
v200/3,200,4400,0.221,36.630,0.011,6,0.0404,6,1,0.25996995,6,1,0.743823695,6,1,0.234384537,6,0.3
v200/4,200,17653,0.887,22.379,0.698,39,600.0000,0,0,600,0,0,2.141501594,39,0.3,0.890923214,39,0.1
v200/5,200,1658,0.083,17.534,0.001,4,0.0045,4,1,0.064930201,4,1,0.529811788,4,1,0.147917843,4,1
v200/6,200,13891,0.698,35.912,0.340,18,553.0769,18,1,301.3446178,18,1,1.414954615,18,0.4,0.49998467,0,0
v200/7,200,11480,0.577,39.660,0.191,13,17.4726,13,1,19.44757915,13,1,1.095783687,13,0.3,0.427883744,0,0
v200/8,200,1392,0.070,14.084,0.000,4,0.0035,4,1,0.044853926,4,1,0.609831834,4,1,0.169618297,4,0.6
v200/9,200,13449,0.676,44.310,0.309,17,278.2166,17,1,193.5342131,17,1,1.336726356,16,0,0.480767727,0,0
v200/10,200,3057,0.154,29.905,0.004,5,0.0152,5,1,0.148717165,5,1,0.608637881,5,1,0.163522553,5,0.8
v200/11,200,9608,0.483,55.364,0.113,11,2.4364,11,1,4.168933868,11,1,1.031900883,11,0.6,0.358758593,0,0
v200/12,200,5666,0.285,36.094,0.023,7,0.1050,7,1,0.480407715,7,1,0.788464975,7,0.9,0.275948286,7,0.1
v200/13,200,17717,0.890,21.051,0.706,40,600.0000,0,0,600,0,0,2.206561637,40,0.8,0.847804546,40,0.3
v200/14,200,9752,0.490,56.370,0.118,11,2.8176,11,1,4.946897268,11,1,1.124766207,11,0.6,0.370535398,11,0.1
v200/15,200,10027,0.504,45.997,0.128,11,3.5612,11,1,5.994190216,11,1,0.899563217,11,0.5,0.357168746,0,0
v200/16,200,4009,0.201,27.432,0.008,5,0.0263,5,1,0.242844105,5,1,0.425806832,5,1,0.128271031,5,1
v200/17,200,4525,0.227,28.918,0.012,6,0.0377,6,1,0.27474308,6,1,0.728407097,6,1,0.24540565,6,0.4
v200/18,200,18455,0.927,17.048,0.798,55,600.0000,0,0,600,0,0,2.126945424,55,0.7,1.128499675,55,0.3
v200/19,200,16130,0.811,31.210,0.532,26,600.0000,0,0,600,0,0,1.764343143,26,0.8,0.579798603,26,0.3
v200/20,200,5276,0.265,42.192,0.019,6,0.0813,6,1,0.452134848,6,1,0.568156719,6,1,0.150056624,6,1
v200/21,200,12961,0.651,39.018,0.276,16,128.1318,16,1,91.36748123,16,1,1.348134422,16,0.2,0.452935004,0,0
v200/22,200,17718,0.890,16.758,0.706,39,600.0000,0,0,600,0,0,2.273557878,39,0.1,0.868758988,0,0
v200/23,200,12305,0.618,48.478,0.236,15,50.6666,15,1,40.57316589,15,1,1.676195359,15,0.7,0.425416875,15,0.1
v200/24,200,10572,0.531,46.392,0.150,12,6.3457,12,1,8.146392107,12,1,1.028358364,12,0.3,0.368285561,12,0.1
v400/0,400,45817,0.574,96.683,0.189,14,600.0000,0,0,600,0,0,2.011799598,14,0.9,0.404568505,14,0.2
v400/1,400,8919,0.112,38.401,0.001,5,0.0555,5,1,1.092832088,5,1,1.024777293,5,1,0.183128405,5,0.8
v400/2,400,59784,0.749,74.524,0.420,25,600.0000,0,0,600,0,0,3.367735815,25,0.2,0.811367559,0,0
v400/3,400,31143,0.390,86.864,0.059,10,15.8859,10,1,50.96652818,10,1,1.644017124,10,0.1,0.376790619,0,0
v400/4,400,42611,0.534,98.127,0.152,14,600.0000,0,0,600,0,0,1.789412332,14,0.3,0.479741216,0,0
v400/5,400,32523,0.408,97.797,0.068,10,21.6867,10,1,60.05087996,10,1,1.871363759,10,0.8,0.411646819,10,0.1
v400/6,400,23905,0.300,84.009,0.027,8,1.9938,8,1,12.14445901,8,1,1.254647017,8,1,0.351621318,8,0.1
v400/7,400,3916,0.049,18.664,0.000,4,0.0113,4,1,0.470165968,4,1,1.032790923,4,1,0.215607214,4,0.7
v400/8,400,46371,0.581,100.949,0.196,16,600.0000,0,0,600,0,0,1.77624836,16,0.1,0.474130416,0,0
v400/9,400,6339,0.079,31.467,0.000,4,0.0244,4,1,0.752146959,4,1,0.612544918,4,1,0.129158783,4,1
v400/10,400,77768,0.975,10.499,0.926,121,600.0000,0,0,600,0,0,7.877106857,121,0.1,2.419941616,0,0
v400/11,400,43067,0.540,102.283,0.157,13,600.0000,0,0,600,0,0,1.498466206,13,0.6,0.40946269,13,0.1
v400/12,400,61034,0.765,74.641,0.447,26,600.0000,0,0,600,0,0,3.194462967,26,0.1,0.65070343,0,0
v400/13,400,11936,0.150,46.493,0.003,6,0.1201,6,1,1.756372929,6,1,1.214228439,6,0.6,0.262172246,0,0
v400/14,400,47343,0.593,92.164,0.209,15,600.0000,0,0,600,0,0,1.759311938,15,0.7,0.442129135,0,0
v400/15,400,79700,0.999,1.470,0.996,328,600.0000,0,0,221.7968519,328,1,2.394370675,328,1,5.366766882,328,0.7
v400/16,400,25002,0.313,90.305,0.031,9,2.5999,9,1,12.24229288,9,1,1.518983626,9,0.1,0.326663733,0,0
v400/17,400,1660,0.021,8.745,0.000,3,0.0036,3,1,0.192673922,3,1,0.58030045,3,1,0.11170361,3,1
v400/18,400,62394,0.782,75.114,0.478,27,600.0000,0,0,600,0,0,2.914843369,27,0.1,0.663953161,27,0.1
v400/19,400,57382,0.719,83.407,0.372,22,600.0000,0,0,600,0,0,2.684817815,22,0.1,0.578131604,0,0
v400/20,400,35137,0.440,98.091,0.085,11,45.5383,11,1,95.33346605,11,1,1.735541463,11,0.3,0.380765724,0,0
v400/21,400,72054,0.903,38.412,0.736,52,600.0000,0,0,600,0,0,4.569255948,52,0.1,1.129667926,0,0
v400/22,400,57527,0.721,83.972,0.375,21,600.0000,0,0,600,0,0,2.630332804,21,0.8,0.568186617,21,0.1
v400/23,400,30876,0.387,93.051,0.058,10,12.6353,10,1,40.04391694,10,1,1.445598316,10,0.1,0.36236527,0,0
v400/24,400,67677,0.848,53.657,0.610,37,600.0000,0,0,600,0,0,4.435009742,37,0.2,0.85641346,0,0